table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
public,publish_batch_items,9,created_at,timestamp with time zone,timestamptz,NO,now()
public,publish_batches,1,id,uuid,uuid,NO,gen_random_uuid()
public,publish_batches,2,manufacturer_id,uuid,uuid,YES,null
public,publish_batches,3,status,text,text,NO,'draft'::text
public,publish_batches,4,export_type,text,text,NO,'csv'::text
public,publish_batches,5,production_project_ref,text,text,YES,null
public,publish_batches,6,created_by,uuid,uuid,YES,null
public,publish_batches,7,created_at,timestamp with time zone,timestamptz,NO,now()
public,publish_batches,8,approved_at,timestamp with time zone,timestamptz,YES,null
public,publish_batches,9,published_at,timestamp with time zone,timestamptz,YES,null
public,publish_batches,10,notes,text,text,YES,null
public,source_documents,1,id,uuid,uuid,NO,gen_random_uuid()
public,source_documents,2,manufacturer_id,uuid,uuid,NO,null
public,source_documents,3,original_filename,text,text,NO,null
public,source_documents,4,document_name,text,text,NO,null
public,source_documents,5,document_type,text,text,YES,null
public,source_documents,6,document_date,text,text,YES,null
public,source_documents,7,storage_provider,text,text,NO,'cloudflare_r2'::text
public,source_documents,8,storage_bucket,text,text,YES,null
public,source_documents,9,storage_key,text,text,YES,null
public,source_documents,10,public_url,text,text,YES,null
public,source_documents,11,file_mime_type,text,text,YES,null
public,source_documents,12,file_size_bytes,bigint,int8,YES,null
public,source_documents,13,status,text,text,NO,'uploaded'::text
public,source_documents,14,uploaded_by,uuid,uuid,YES,null
public,source_documents,15,uploaded_at,timestamp with time zone,timestamptz,NO,now()
public,source_documents,16,notes,text,text,YES,null
public,staged_components,1,id,uuid,uuid,NO,gen_random_uuid()
public,staged_components,2,manufacturer_id,uuid,uuid,NO,null
public,staged_components,3,source_document_id,uuid,uuid,YES,null
public,staged_components,4,source_chunk_id,uuid,uuid,YES,null
public,staged_components,5,production_component_id,uuid,uuid,YES,null
public,staged_components,6,sku,text,text,YES,null
public,staged_components,7,name,text,text,NO,null
public,staged_components,8,description,text,text,YES,null
public,staged_components,9,category,text,text,YES,null
public,staged_components,10,uom,text,text,YES,null
public,staged_components,11,length_mm,numeric,numeric,YES,null
public,staged_components,12,width_mm,numeric,numeric,YES,null
public,staged_components,13,height_mm,numeric,numeric,YES,null
public,staged_components,14,thickness_mm,numeric,numeric,YES,null
public,staged_components,15,depth_mm,numeric,numeric,YES,null
public,staged_components,16,gauge_mm,numeric,numeric,YES,null
public,staged_components,17,diameter_mm,numeric,numeric,YES,null
public,staged_components,18,roll_m,numeric,numeric,YES,null
public,staged_components,19,weight_kg,numeric,numeric,YES,null
public,staged_components,20,pieces,integer,int4,YES,null
public,staged_components,21,material,text,text,YES,null
public,staged_components,22,finish,text,text,YES,null
public,staged_components,23,colour,text,text,YES,null
public,staged_components,24,profile,text,text,YES,null
public,staged_components,25,texture,text,text,YES,null
public,staged_components,26,coverage_m2,numeric,numeric,YES,null
public,staged_components,27,sort_order,integer,int4,NO,0
public,staged_components,28,extraction_confidence,numeric,numeric,YES,null
public,staged_components,29,verification_status,text,text,NO,'pending_review'::text
public,staged_components,30,verified_by,uuid,uuid,YES,null
public,staged_components,31,verified_at,timestamp with time zone,timestamptz,YES,null
public,staged_components,32,reviewer_notes,text,text,YES,null
public,staged_components,33,created_at,timestamp with time zone,timestamptz,NO,now()
public,staged_components,34,updated_at,timestamp with time zone,timestamptz,NO,now()
public,staged_components,35,volume_ml,numeric,numeric,YES,null
public,staged_components,36,weight_g,numeric,numeric,YES,null
public,staged_components,37,pack_format,text,text,YES,null
public,staged_components,38,supplier_pack_qty,numeric,numeric,YES,null
public,staged_components,39,supplier_pack_uom,text,text,YES,null
public,staged_components,40,supplier_pack_note,text,text,YES,null
public,staged_components,41,parser_notes,jsonb,jsonb,YES,null
public,staged_components,42,image_url,text,text,YES,null
public,staged_components,43,website_url,text,text,YES,null
public,staged_components,44,extracted_at,timestamp with time zone,timestamptz,YES,null
public,staged_system_colours,1,id,uuid,uuid,NO,gen_random_uuid()
public,staged_system_colours,2,staged_system_id,uuid,uuid,NO,null
public,staged_system_colours,3,colour_name,text,text,NO,null
public,staged_system_colours,4,sku,text,text,YES,null
public,staged_system_colours,5,image_url,text,text,YES,null
public,staged_system_colours,6,is_stocked,boolean,bool,NO,true
public,staged_system_colours,7,sort_order,integer,int4,NO,0
public,staged_system_colours,8,verification_status,text,text,NO,'pending_review'::text
public,staged_system_colours,9,reviewer_notes,text,text,YES,null
public,staged_system_colours,10,created_at,timestamp with time zone,timestamptz,NO,now()
public,staged_system_colours,11,parser_notes,jsonb,jsonb,YES,null
public,staged_system_colours,12,sku_suffix,text,text,YES,null
public,staged_system_colours,13,extracted_at,timestamp with time zone,timestamptz,YES,null
public,staged_system_components,1,id,uuid,uuid,NO,gen_random_uuid()
public,staged_system_components,2,staged_system_id,uuid,uuid,NO,null
public,staged_system_components,3,staged_component_id,uuid,uuid,NO,null
public,staged_system_components,4,role,text,text,NO,'component'::text
public,staged_system_components,5,notes,text,text,YES,null
public,staged_system_components,6,sort_order,integer,int4,NO,0
public,staged_system_components,7,extraction_confidence,numeric,numeric,YES,null
public,staged_system_components,8,verification_status,text,text,NO,'pending_review'::text
public,staged_system_components,9,verified_by,uuid,uuid,YES,null
public,staged_system_components,10,verified_at,timestamp with time zone,timestamptz,YES,null
public,staged_system_components,11,reviewer_notes,text,text,YES,null
public,staged_system_components,12,created_at,timestamp with time zone,timestamptz,NO,now()
public,staged_system_components,13,parser_notes,jsonb,jsonb,YES,null
public,staged_system_components,14,extracted_at,timestamp with time zone,timestamptz,YES,null
public,staged_system_profiles,1,id,uuid,uuid,NO,gen_random_uuid()
public,staged_system_profiles,2,staged_system_id,uuid,uuid,NO,null
public,staged_system_profiles,3,name,text,text,YES,null
public,staged_system_profiles,4,product_code,text,text,YES,null
public,staged_system_profiles,5,dimensions,text,text,YES,null
public,staged_system_profiles,6,length_m,numeric,numeric,YES,null
public,staged_system_profiles,7,sheet_format,text,text,YES,null
public,staged_system_profiles,8,sort_order,integer,int4,NO,0
public,staged_system_profiles,9,verification_status,text,text,NO,'pending_review'::text
public,staged_system_profiles,10,reviewer_notes,text,text,YES,null
public,staged_system_profiles,11,created_at,timestamp with time zone,timestamptz,NO,now()
public,staged_system_profiles,12,profile_name,text,text,YES,null
public,staged_system_profiles,13,length_mm,numeric,numeric,YES,null
public,staged_system_profiles,14,width_mm,numeric,numeric,YES,null
public,staged_system_profiles,15,height_mm,numeric,numeric,YES,null
public,staged_system_profiles,16,thickness_mm,numeric,numeric,YES,null
public,staged_system_profiles,17,depth_mm,numeric,numeric,YES,null
public,staged_system_profiles,18,gauge_mm,numeric,numeric,YES,null
public,staged_system_profiles,19,diameter_mm,numeric,numeric,YES,null
public,staged_system_profiles,20,roll_m,numeric,numeric,YES,null
public,staged_system_profiles,21,weight_kg,numeric,numeric,YES,null
public,staged_system_profiles,22,pieces,numeric,numeric,YES,null
public,staged_system_profiles,23,volume_ml,numeric,numeric,YES,null
public,staged_system_profiles,24,weight_g,numeric,numeric,YES,null
public,staged_system_profiles,25,pack_format,text,text,YES,null
public,staged_system_profiles,26,supplier_pack_qty,numeric,numeric,YES,null
public,staged_system_profiles,27,supplier_pack_uom,text,text,YES,null
public,staged_system_profiles,28,supplier_pack_note,text,text,YES,null
public,staged_system_profiles,29,bal_rating,text,text,YES,null
public,staged_system_profiles,30,parser_notes,jsonb,jsonb,YES,null
public,staged_system_profiles,31,uom,text,text,YES,null
public,staged_system_profiles,32,image_url,text,text,YES,null
public,staged_system_profiles,33,website_url,text,text,YES,null
public,staged_system_profiles,34,extracted_at,timestamp with time zone,timestamptz,YES,null
public,staged_systems,1,id,uuid,uuid,NO,gen_random_uuid()
public,staged_systems,2,manufacturer_id,uuid,uuid,NO,null
public,staged_systems,3,source_document_id,uuid,uuid,YES,null
public,staged_systems,4,source_chunk_id,uuid,uuid,YES,null
public,staged_systems,5,production_system_id,uuid,uuid,YES,null
public,staged_systems,6,name,text,text,NO,null
public,staged_systems,7,product_code,text,text,YES,null
public,staged_systems,8,slug,text,text,YES,null
public,staged_systems,9,category,text,text,YES,null
public,staged_systems,10,subcategory,text,text,YES,null
public,staged_systems,11,description,text,text,YES,null
